area,prob25_latency,prob50_latency,prob75_latency,uncertain_omitted_peakMean,uncertain_delivered_peakMean,uncertain_omitted_peakVar,uncertain_delivered_peakVar,prob25_slope,prob50_slope,prob75_slope
Striatum,1,271,NaN,134,121,2230.27777791616,1657.68979808246,-0.0134880596815217,-0.0804955142669356,-0.185235414352814
Striatum,517,313,246,141,-160,155.552622674941,153.458254575751,-0.159394787457154,-0.277306830665164,-0.258173378854987
Striatum,491,NaN,NaN,167,105,179.093936511648,149.817100968781,-0.0974311196954267,-0.263511969353378,-0.385426175389873
Striatum,317,345,360,211,101,326.589945381425,158.10000351395,-0.114553322610141,-0.16374178690357,-0.145209991978613
Striatum,425,NaN,NaN,155,25,129.528632613282,67.0227912389103,-0.237167945929489,-0.200023834501144,-0.17980678737862
Striatum,347,927,146,-32,86,431.995205470914,254.05093356902,-0.0879736982938661,-0.122240782731233,-0.0340677596097631
Striatum,634,678,NaN,192,173,165.346767647356,156.629871565633,-0.14990756461562,-0.224900215237967,NaN
Striatum,NaN,NaN,94,-246,13,119.007127637682,92.770069064789,-0.0644240459200136,-0.135950934838206,-0.0032893052572101
Striatum,487,622,311,130,141,154.229025774348,128.291553993577,-0.217960427702845,-0.170079150594036,-0.146619176462933
Striatum,3,323,NaN,145,30,1317.99218917044,1148.27177650906,-0,-0.155860790975157,-0.204951524111343
Striatum,236,206,325,0,153,246.32640063983,104.220233845723,-0.164698905153415,-0.108365797816732,-0.234413919528986
Striatum,NaN,671,NaN,244,24,199.227436435275,66.9656628429824,-0.075953655959532,-0.0344570717858837,-0.0297337735214892
Striatum,299,NaN,380,31,52,159.029032988739,123.594543209282,-0.185923705568971,-0.0896337592489083,-0.0326255990090577
Striatum,44,290,NaN,-94,-54,487.625861652539,116.533730284916,0.00320746470460076,-0.115311922196253,-0.176556031488811
Striatum,265,238,321,76,105,1081.64188331568,1147.52068707833,-0.0287583961636865,-0.0851997168240059,-0.0923647231858271
Striatum,506,447,NaN,146,154,1186.46377564133,70.7716665614057,-0.0449319578903435,-0.134905185197028,-0.056889101151148
Striatum,NaN,503,NaN,-60,-59,86.9726968651657,135.700487184911,-0.239782777663441,-0.261568016758644,NaN
Striatum,196,500,NaN,-27,39,2315.0869159864,1744.98016771374,-0.0616079144193074,-0.0274251333099165,NaN
Striatum,645,269,198,-212,-172,1714.24257775398,1645.24620365834,0.131070027180306,-0.0225409961826488,0.00993379978992237
Striatum,613,553,583,250,171,1019.79292990442,1292.90928670395,0.0724850948325181,0.0553413759417049,0.0243165087757753
Striatum,259,281,416,-8,44,97.1460553013145,78.3380140445521,-0.154986748047456,-0.126422530408071,-0.0588693928852105
Striatum,53,NaN,82,-243,-216,62.3056979737809,56.1327970894994,-9.80515838204094e-05,-0,-0.00502927682644464
Striatum,443,462,NaN,141,68,132.826858575268,170.793865359516,-0.100734181409295,-0.0832007200244613,-0.134168037258666
Striatum,1,1,1,-184,-153,1531.98507390466,1672.5555154855,-0,-0,0.0441021832457951
Striatum,1,1,1,-166,-250,1465.29080487702,1358.59845296918,-0,-0,-0.00937733001572471
Striatum,174,NaN,253,-120,-23,1178.10678633136,1355.15479834317,-0.0397780074563055,0.015203553487078,-0.0900692540058516
Striatum,48,NaN,145,-250,-213,263.905140300304,134.970703891959,-0,-0.000316244413088469,-0.0420374365739969
Striatum,125,118,106,68,-83,136.646543233913,950.922446890386,-0.0581514604815863,-0.0862619873089365,-0.0628018212487629
Striatum,300,306,326,-37,-23,67.0594263818791,91.9800703051119,-0.0942964716031774,-0.045647235755123,-0.21026178446332
Striatum,81,NaN,NaN,-183,-103,116.032630878436,68.9623775968428,-0.0112586575822817,-0.00848691349549232,-0.0949727910846845
Striatum,100,311,424,-12,20,896.841903570523,1346.18656553643,-0.0210681415695049,-0.0533015752238697,-0.0309329400115736
Striatum,NaN,NaN,NaN,-15,-6,104.405778894976,117.920312075571,-0.1696362047966,-0.159861010454866,-0.476709575488403
Striatum,NaN,NaN,NaN,-180,-250,263.041856330543,132.251896404415,-0.0187623219729256,-0.00607146311224097,NaN
Striatum,12,174,86,-230,-228,1436.29285546739,57.1920740429418,-0.00640416203616392,-0.126032016705054,-0.0176631283184533
Striatum,226,231,352,133,-176,133.019518521502,136.45898484693,-0.171359762713372,-0.188042360900656,-0.402513583965358
